$id	$permissions	$createdAt	$updatedAt	book	category	episode	fileName	uploaded_at	fileId	bookOrder	categoryOrder	updated_at	episodeOrder	users
68fe0faa0012be28cb53	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:18.956+00:00	2025-10-26T15:04:50.538+00:00	בראשית	תורה	וישב	תורה-בראשית-וישב.json	2025-02-20T13:52:08.424+00:00	67b733870022ddd19831	1	1	null	11	null
68fe0fac002555484ba7	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:21.139+00:00	2025-10-26T14:45:17.787+00:00	בראשית	תורה	מקץ	תורה-בראשית-מקץ.json	2025-02-20T13:52:21.325+00:00	67b7339400130e19b21a	1	1	null	11	null
68fe0fae003331118cf9	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:23.353+00:00	2025-10-26T15:03:15.373+00:00	בראשית	תורה	ויגש	תורה-בראשית-ויגש.json	2025-02-20T13:52:34.338+00:00	67b733a1001f24253eab	1	1	null	11	null
68fe0fb10000cf18ca49	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:25.664+00:00	2025-10-26T15:03:26.549+00:00	בראשית	תורה	ויחי	תורה-בראשית-ויחי.json	2025-02-20T13:52:44.940+00:00	67b733ac0008d7dc5660	1	1	null	1011	null
68fe0fb300156503df09	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:27.891+00:00	2025-10-26T12:10:27.891+00:00	ויקרא	תורה	צו	תורה-ויקרא-צו.json	2025-02-20T19:42:11.453+00:00	67b78592001ea64139bc	3	1	null	2	null
68fe0fb500237530bc28	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:30.100+00:00	2025-10-26T12:10:30.100+00:00	ויקרא	תורה	שמיני	תורה-ויקרא-שמיני.json	2025-02-20T19:42:26.953+00:00	67b785a20000ef0d2c65	3	1	null	3	null
68fe0fb7002f6dfaeaf0	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:32.405+00:00	2025-10-26T12:10:32.405+00:00	ויקרא	תורה	תזריע	תורה-ויקרא-תזריע.json	2025-02-20T19:42:56.735+00:00	67b785bf003c5c5f96e2	3	1	null	4	null
68fe0fba00197c9374dc	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:34.939+00:00	2025-10-26T12:10:34.939+00:00	תרי עשר	נביאים	יואל	נביאים-תרי עשר-יואל.json	2025-02-20T13:43:08.982+00:00	67b7316c0000364b75f4	8	2	null	2	null
68fe0fbc0026edd867ec	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:37.172+00:00	2025-10-26T12:10:37.172+00:00	תרי עשר	נביאים	עמוס	נביאים-תרי עשר-עמוס.json	2025-02-20T13:43:39.345+00:00	67b7318a000d4e11c90b	8	2	null	3	null
68fe0fbe0034262c7c52	"[""read(\""user:67609199002b27c2fd49\"")"",""update(\""user:67609199002b27c2fd49\"")"",""delete(\""user:67609199002b27c2fd49\"")""]"	2025-10-26T12:10:39.475+00:00	2025-10-26T12:10:39.475+00:00	תרי עשר	נביאים	עובדיה	נביאים-תרי עשר-עובדיה.json	2025-02-20T13:44:36.302+00:00	67b731c3001c3078f6bc	8	2	null	4	null
